,lon,lat,z1p0,z2p5,sigma,vs30,v22p12,v22p11,v22p4,v22p2,v21p6,v21p1,v20p9,v20p6,v20p5,v20p4
020082a,172.85242,-40.93591,0.035,0.475,0.5,690.974349122663,True,True,True,False,True,True,True,True,True,True
020082b,172.85237,-41.00778,0.035,0.375,0.5,690.974348975087,True,True,True,False,True,True,True,True,True,True
020082c,172.85233,-41.07965,0.035,0.375,0.5,690.9743489665,True,True,True,False,True,True,True,True,True,True
020082d,172.85226,-41.15152,0.035,0.325,0.5,690.974348966224,True,True,True,False,True,True,True,True,True,True
020082e,172.85222,-41.22337,0.035,0.375,0.5,690.97434896622,True,True,True,False,True,True,True,True,True,True
020082f,172.85216,-41.29524,0.295,1.575,0.3,455.00000000001,True,True,True,False,True,True,True,True,True,True
0200830,172.85211,-41.36711,0.825,3.575,0.3,455.000000000016,True,True,True,False,True,True,True,True,True,True
0200831,172.85207,-41.43898,0.845,2.775,0.3,455.000000005977,True,True,True,False,True,True,True,True,True,True
0200832,172.85201,-41.51083,0.765,1.225,0.3,500.000000555726,True,True,True,False,True,True,True,True,True,True
0200833,172.85196,-41.5827,0.735,0.775,0.3,455.000183501636,True,True,True,False,True,True,True,True,True,True
0200834,172.8519,-41.65457,0.605,0.625,0.3,500.019562639367,True,True,True,False,True,True,True,True,True,True
0200835,172.85185,-41.72644,0.055,0.275,0.3,458.900428518352,True,True,True,False,True,True,True,True,True,True
0200836,172.85179,-41.79829,0.135,0.275,0.3,458.931555564043,True,True,True,False,True,True,True,True,True,True
0200837,172.85175,-41.87016,0.045,0.275,0.5,455.035317092292,True,True,True,False,True,True,True,True,True,True
0200838,172.85168,-41.94203,0.045,0.275,0.5,455.000185217471,True,True,True,False,True,True,True,True,True,True
0200839,172.85164,-42.0139,0.035,0.275,0.5,455.000001005147,True,True,True,False,True,True,True,True,True,True
020083a,172.85158,-42.08575,0.035,0.275,0.5,455.000000006046,True,True,True,False,True,True,True,True,True,True
020083b,172.85153,-42.15762,0.045,0.325,0.5,455.000000000012,True,True,True,False,True,True,True,True,True,True
020083c,172.85147,-42.22949,0.045,0.325,0.5,455.0,True,True,True,False,True,True,True,True,True,True
020083d,172.85143,-42.30136,0.045,0.325,0.5,455.0,True,True,True,False,True,True,True,True,True,True
020083e,172.85136,-42.37323,0.045,0.325,0.5,500.0,True,True,True,False,True,True,True,True,True,True
020083f,172.85132,-42.44508,0.045,0.325,0.5,455.0,True,True,True,False,True,True,True,True,True,True
0200840,172.85126,-42.51695,0.065,0.325,0.3,500.0,True,True,True,False,True,True,True,True,True,True
0200841,172.8512,-42.58882,0.045,0.425,0.5,455.00000000001,True,True,True,False,True,True,True,True,True,True
0200842,172.85115,-42.66069,0.055,0.425,0.5,455.000000002302,False,True,True,False,True,True,True,True,True,True
0200843,172.85109,-42.73254,0.265,0.375,0.3,455.000000227255,False,True,True,False,True,True,True,True,True,True
0200844,172.85104,-42.80441,0.745,0.775,0.3,500.000009924138,False,True,True,False,True,True,True,True,True,True
0200845,172.85098,-42.87628,0.045,0.675,0.5,455.000933974517,False,True,True,False,True,True,True,True,True,True
0200846,172.85094,-42.94815,0.075,1.075,0.5,246.614657803975,False,True,True,False,True,True,True,True,True,True
0200847,172.85088,-43.02,0.085,1.625,0.3,246.614347947984,False,True,True,False,True,True,True,True,True,True
0200848,172.85081,-43.09187,0.175,2.025,0.3,455.000186425858,False,False,True,False,True,True,True,True,True,True
0200849,172.85037,-43.66679,0.015,1.775,0.3,690.997060720847,False,False,False,False,True,True,True,True,True,True
020084a,172.85031,-43.73866,0.005,1.625,0.3,472.779668866793,False,False,False,False,True,True,True,True,True,True
020084b,172.85027,-43.81053,0.045,1.925,0.3,691.213699563937,False,False,False,False,True,True,True,True,True,True
020084c,172.8502,-43.88239,0.065,1.525,0.3,691.005475127307,False,False,False,False,True,True,True,True,True,True
020084d,172.9433,-34.46805,0.055,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
020084e,172.94339,-34.61179,0.045,0.275,0.5,221.624413372274,False,False,False,False,False,False,False,False,False,False
020084f,172.94344,-34.68365,0.055,0.275,0.5,472.749388885179,False,False,False,False,False,False,False,False,False,False
0200850,172.94749,-40.86406,0.035,0.375,0.5,690.974348971481,True,True,True,False,True,True,True,True,True,True
0200851,172.94756,-40.93591,0.045,0.675,0.5,690.974348967459,True,True,True,False,True,True,True,True,True,True
0200852,172.9476,-41.00778,0.035,0.375,0.5,690.974348966403,True,True,True,False,True,True,True,True,True,True
0200853,172.94766,-41.07965,0.035,0.375,0.5,690.974348966536,True,True,True,False,True,True,True,True,True,True
0200854,172.94771,-41.15152,0.035,0.375,0.5,690.974348968651,True,True,True,False,True,True,True,True,True,True
0200855,172.94775,-41.22337,0.465,0.825,0.3,455.000000006561,True,True,True,False,True,True,True,True,True,True
0200856,172.94781,-41.29524,0.825,2.875,0.3,455.000000002686,True,True,True,False,True,True,True,True,True,True
0200857,172.94786,-41.36711,0.855,2.825,0.3,455.000000000432,True,True,True,False,True,True,True,True,True,True
0200858,172.94792,-41.43898,0.825,1.675,0.3,455.00000000633,True,True,True,False,True,True,True,True,True,True
0200859,172.94797,-41.51083,0.895,1.625,0.3,455.000001111499,True,True,True,False,True,True,True,True,True,True
020085a,172.94803,-41.5827,0.045,0.525,0.5,455.000197674437,True,True,True,False,True,True,True,True,True,True
020085b,172.94807,-41.65457,0.045,0.325,0.5,455.043726425692,True,True,True,False,True,True,True,True,True,True
020085c,172.94814,-41.72644,0.045,0.275,0.5,461.122943381508,True,True,True,False,True,True,True,True,True,True
020085d,172.94818,-41.79829,0.055,0.275,0.5,503.484082419539,True,True,True,False,True,True,True,True,True,True
020085e,172.94824,-41.87016,0.045,0.275,0.5,455.0444084808,True,True,True,False,True,True,True,True,True,True
020085f,172.94829,-41.94203,0.045,0.275,0.5,455.00019943238,True,True,True,False,True,True,True,True,True,True
0200860,172.94835,-42.0139,0.045,0.275,0.5,246.613837297214,True,True,True,False,True,True,True,True,True,True
0200861,172.94839,-42.08575,0.045,0.275,0.5,455.000000006387,True,True,True,False,True,True,True,True,True,True
0200862,172.94846,-42.15762,0.065,0.325,0.5,455.000000000012,True,True,True,False,True,True,True,True,True,True
0200863,172.9485,-42.22949,0.055,0.325,0.5,455.0,True,True,True,False,True,True,True,True,True,True
0200864,172.94856,-42.30136,0.045,0.325,0.5,455.0,True,True,True,False,True,True,True,True,True,True
0200865,172.94861,-42.37323,0.045,0.325,0.5,455.0,True,True,True,False,True,True,True,True,True,True
0200866,172.94867,-42.44508,0.045,0.375,0.5,455.000000000001,True,True,True,False,True,True,True,True,True,True
0200867,172.94872,-42.51695,0.045,0.625,0.5,455.0,True,True,True,False,True,True,True,True,True,True
0200868,172.94878,-42.58882,0.055,0.775,0.5,455.000000000061,True,True,True,False,True,True,True,True,True,True
0200869,172.94882,-42.66069,0.455,0.775,0.3,500.000000004597,True,True,True,False,True,True,True,True,True,True
020086a,172.94888,-42.73254,0.525,0.875,0.3,500.000000968661,False,True,True,False,True,True,True,True,True,True
020086b,172.94894,-42.80441,0.075,0.975,0.3,246.613876033711,False,True,True,False,True,True,True,True,True,True
020086c,172.94899,-42.87628,0.055,1.475,0.5,455.049475666807,False,True,True,False,True,True,True,True,True,True
020086d,172.94905,-42.94815,0.075,1.825,0.5,357.688309182333,False,True,True,False,True,True,True,True,True,True
020086e,172.9491,-43.02,0.045,2.025,0.3,455.435166915765,False,True,True,False,True,True,True,True,True,True
020086f,172.9496,-43.66679,0.005,1.575,0.3,690.976204547754,False,False,False,False,True,True,True,True,True,True
0200870,172.94966,-43.73866,0.035,1.575,0.3,691.463440027082,False,False,False,False,True,True,True,True,True,True
0200871,173.0303,-34.68359,0.065,0.275,0.5,205.391402661601,False,False,False,False,False,False,False,False,False,False
0200872,173.03044,-34.75545,0.055,0.275,0.5,472.749388885179,False,False,False,False,False,False,False,False,False,False
0200873,173.03058,-34.82732,0.055,0.275,0.5,472.749388885179,False,False,False,False,False,False,False,False,False,False
0200874,173.04253,-40.86398,0.045,0.325,0.5,233.208701621591,True,True,True,False,True,True,True,True,True,True
0200875,173.04268,-40.93584,0.045,0.325,0.5,690.974348966303,True,True,True,False,True,True,True,True,True,True
0200876,173.0433,-41.2233,0.685,0.825,0.3,455.000001199373,True,True,True,False,True,True,True,True,True,True
0200877,173.04346,-41.29517,0.745,1.375,0.3,455.000000305407,True,True,True,False,True,True,True,True,True,True
0200878,173.04362,-41.36703,0.765,2.625,0.3,455.00000004703,True,True,True,False,True,True,True,True,True,True
0200879,173.04378,-41.43889,0.055,1.325,0.5,455.000000002652,True,True,True,False,True,True,True,True,True,True
020087a,173.04393,-41.51076,0.055,0.375,0.5,455.000000219829,True,True,True,False,True,True,True,True,True,True
020087b,173.0441,-41.58263,0.045,0.475,0.5,455.000028325189,True,True,True,False,True,True,True,True,True,True
020087c,173.04425,-41.6545,0.055,0.325,0.5,690.97646941974,True,True,True,False,True,True,True,True,True,True
020087d,173.0444,-41.72635,0.075,0.275,0.3,500.029378451051,True,True,True,False,True,True,True,True,True,True
020087e,173.04457,-41.79822,0.045,0.275,0.5,246.620978316282,True,True,True,False,True,True,True,True,True,True
020087f,173.04472,-41.87009,0.045,0.275,0.5,455.002441981827,True,True,True,False,True,True,True,True,True,True
0200880,173.04489,-41.94196,0.045,0.275,0.5,246.613841040836,True,True,True,False,True,True,True,True,True,True
0200881,173.04504,-42.01381,0.055,0.275,0.5,246.613837172555,True,True,True,False,True,True,True,True,True,True
0200882,173.04521,-42.08568,0.045,0.325,0.5,455.000000000617,True,True,True,False,True,True,True,True,True,True
0200883,173.04536,-42.15755,0.045,0.325,0.5,455.000000000009,True,True,True,False,True,True,True,True,True,True
0200884,173.04553,-42.22942,0.045,0.325,0.5,455.000000000005,True,True,True,False,True,True,True,True,True,True
0200885,173.0457,-42.30127,0.045,0.325,0.5,455.000000000039,True,True,True,False,True,True,True,True,True,True
0200886,173.04585,-42.37314,0.045,0.375,0.5,455.000000000152,True,True,True,False,True,True,True,True,True,True
0200887,173.04602,-42.44501,0.045,0.775,0.5,455.000000000164,True,True,True,False,True,True,True,True,True,True
0200888,173.04617,-42.51688,0.045,0.975,0.5,455.000000000075,True,True,True,False,True,True,True,True,True,True
0200889,173.04634,-42.58873,0.345,1.275,0.3,455.000000000129,True,True,True,False,True,True,True,True,True,True
020088a,173.04651,-42.6606,0.195,1.725,0.3,500.000000005623,True,True,True,False,True,True,True,True,True,True
020088b,173.04668,-42.73247,0.075,1.725,0.3,246.613837579069,True,True,True,False,True,True,True,True,True,True
020088c,173.04683,-42.80434,0.055,2.175,0.5,455.000914035818,False,True,True,False,True,True,True,True,True,True
020088d,173.047,-42.87619,0.075,2.325,0.5,385.629796076243,False,True,True,False,True,True,True,True,True,True
020088e,173.04716,-42.94806,0.075,2.225,0.3,506.819613783499,False,True,True,False,True,True,True,True,True,True
020088f,173.04733,-43.01993,0.025,1.575,0.3,458.939787245425,False,True,True,False,True,True,True,True,True,True
0200890,173.04884,-43.6667,0.025,1.625,0.3,472.750055197744,False,False,True,False,True,True,True,True,True,True
0200891,173.04901,-43.73857,0.005,1.825,0.3,691.062135398818,False,False,False,False,True,True,True,True,True,True
0200892,173.04918,-43.81044,0.005,1.925,0.3,692.086298833703,False,False,False,False,True,True,True,True,True,True
0200893,173.1174,-34.75533,0.065,0.275,0.5,206.685953056597,False,False,False,False,False,False,False,False,False,False
0200894,173.11763,-34.82719,0.055,0.275,0.5,472.749388885179,False,False,False,False,False,False,False,False,False,False
0200895,173.11784,-34.89906,0.045,0.275,0.5,472.749388885179,False,False,False,False,False,False,False,False,False,False
0200896,173.11873,-35.18652,0.035,0.275,0.5,690.974348966211,False,False,False,False,False,False,False,False,False,False
0200897,173.13911,-41.29501,0.605,1.375,0.3,240.000006115494,True,True,True,False,True,True,True,True,True,True
0200898,173.13937,-41.36687,0.635,2.875,0.3,240.000000324245,True,True,True,False,True,True,True,True,True,True
0200899,173.13963,-41.43874,0.045,0.325,0.5,455.000000121351,True,True,True,False,True,True,True,True,True,True
020089a,173.13989,-41.5106,0.045,0.325,0.5,455.000000013904,True,True,True,False,True,True,True,True,True,True
020089b,173.14017,-41.58246,0.045,0.275,0.5,455.000001319717,True,True,True,False,True,True,True,True,True,True
020089c,173.14043,-41.65433,0.035,0.275,0.5,455.00002954196,True,True,True,False,True,True,True,True,True,True
020089d,173.14069,-41.7262,0.035,0.275,0.5,455.000221379109,True,True,True,False,True,True,True,True,True,True
020089e,173.14096,-41.79807,0.045,0.275,0.5,455.000221689589,True,True,True,False,True,True,True,True,True,True
020089f,173.14122,-41.86992,0.045,0.275,0.5,455.000029672733,True,True,True,False,True,True,True,True,True,True
02008a0,173.14149,-41.94179,0.045,0.275,0.5,455.000001336558,True,True,True,False,True,True,True,True,True,True
02008a1,173.14175,-42.01366,0.055,0.325,0.5,455.00000001335,True,True,True,False,True,True,True,True,True,True
02008a2,173.14203,-42.08551,0.045,0.375,0.5,455.000000000257,True,True,True,False,True,True,True,True,True,True
02008a3,173.14229,-42.15738,0.045,1.475,0.5,455.00000000001,True,True,True,False,True,True,True,True,True,True
02008a4,173.14256,-42.22925,0.055,0.525,0.5,455.000000000295,True,True,True,False,True,True,True,True,True,True
02008a5,173.14282,-42.30112,0.045,0.675,0.5,455.000000005875,True,True,True,False,True,True,True,True,True,True
02008a6,173.1431,-42.37297,0.045,0.825,0.5,455.000000014164,True,True,True,False,True,True,True,True,True,True
02008a7,173.14337,-42.44484,0.045,1.825,0.5,455.00000002398,True,True,True,False,True,True,True,True,True,True
02008a8,173.14365,-42.51671,0.315,1.425,0.3,455.000000007231,True,True,True,False,True,True,True,True,True,True
02008a9,173.14392,-42.58858,0.055,1.975,0.5,455.000000000396,True,True,True,False,True,True,True,True,True,True
02008aa,173.14418,-42.66043,0.055,1.925,0.5,455.000000009236,True,True,True,False,True,True,True,True,True,True
02008ab,173.14445,-42.7323,0.045,2.525,0.5,455.000001669159,True,True,True,False,True,True,True,True,True,True
02008ac,173.14473,-42.80417,0.055,3.575,0.5,455.000198490635,True,True,True,False,True,True,True,True,True,True
02008ad,173.145,-42.87602,0.065,3.525,0.5,455.019656355977,False,True,True,False,True,True,True,True,True,True
02008ae,173.14528,-42.94789,0.085,2.175,0.3,455.395229925958,False,True,True,False,True,True,True,True,True,True
02008af,173.20499,-34.89886,0.055,0.275,0.5,472.749388885179,False,False,False,False,False,False,False,False,False,False
02008b0,173.20529,-34.97073,0.055,0.275,0.5,472.749388885179,False,False,False,False,False,False,False,False,False,False
02008b1,173.2056,-35.0426,0.055,0.275,0.5,472.749388885179,False,False,False,False,False,False,False,False,False,False
02008b2,173.20592,-35.11446,0.055,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
02008b3,173.20622,-35.18633,0.035,0.275,0.5,690.974348966211,False,False,False,False,False,False,False,False,False,False
02008b4,173.20685,-35.33006,0.045,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
02008b5,173.23476,-41.29477,0.615,2.825,0.3,206.481494430256,True,True,True,False,True,True,True,True,True,True
02008b6,173.23512,-41.36664,0.045,0.325,0.5,455.000194177009,True,True,True,False,True,True,True,True,True,True
02008b7,173.23549,-41.43849,0.045,0.325,0.5,455.000002129819,True,True,True,False,True,True,True,True,True,True
02008b8,173.23587,-41.51036,0.045,0.275,0.5,455.000000012821,True,True,True,False,True,True,True,True,True,True
02008b9,173.23624,-41.58223,0.035,0.275,0.5,690.974348978193,True,True,True,False,True,True,True,True,True,True
02008ba,173.2366,-41.65408,0.165,0.225,0.3,500.000000130664,True,True,True,False,True,True,True,True,True,True
02008bb,173.23697,-41.72595,0.045,0.275,0.5,455.000001404397,True,True,True,False,True,True,True,True,True,True
02008bc,173.23734,-41.79782,0.045,0.275,0.5,455.000001408035,True,True,True,False,True,True,True,True,True,True
02008bd,173.23772,-41.86967,0.045,0.325,0.5,455.000000232026,True,True,True,False,True,True,True,True,True,True
02008be,173.23808,-41.94154,0.065,0.325,0.5,453.000000012603,True,True,True,False,True,True,True,True,True,True
02008bf,173.23846,-42.01341,0.045,0.425,0.5,455.000000000443,True,True,True,False,True,True,True,True,True,True
02008c0,173.23883,-42.08527,0.045,0.675,0.5,455.000000000015,True,True,True,False,True,True,True,True,True,True
02008c1,173.23921,-42.15714,0.045,0.925,0.5,455.000000000347,True,True,True,False,True,True,True,True,True,True
02008c2,173.23959,-42.229,0.045,1.225,0.5,455.000000043314,True,True,True,False,True,True,True,True,True,True
02008c3,173.23996,-42.30087,0.055,0.825,0.5,246.613837917213,True,True,True,False,True,True,True,True,True,True
02008c4,173.24034,-42.37273,0.045,1.325,0.5,455.000004236109,True,True,True,False,True,True,True,True,True,True
02008c5,173.24072,-42.4446,0.055,1.425,0.5,455.000006137569,True,True,True,False,True,True,True,True,True,True
02008c6,173.2411,-42.51646,0.045,2.125,0.5,455.000001405761,True,True,True,False,True,True,True,True,True,True
02008c7,173.24149,-42.58832,0.065,1.625,0.3,246.613837223201,True,True,True,False,True,True,True,True,True,True
02008c8,173.24187,-42.66019,0.335,2.225,0.3,246.613837144858,True,True,True,False,True,True,True,True,True,True
02008c9,173.24225,-42.73206,0.555,3.925,0.3,320.334269088312,True,True,True,False,True,True,True,True,True,True
02008ca,173.24263,-42.80391,0.675,4.525,0.3,240.000000825727,True,True,True,False,True,True,True,True,True,True
02008cb,173.24301,-42.87578,0.525,3.475,0.3,240.000020978465,True,True,True,False,True,True,True,True,True,True
02008cc,173.24339,-42.94765,0.255,1.725,0.3,455.001394286109,False,True,True,False,True,True,True,True,True,True
02008cd,173.29292,-35.04234,0.045,0.275,0.5,335.279503497185,False,False,False,False,False,False,False,False,False,False
02008ce,173.29332,-35.11421,0.045,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
02008cf,173.29372,-35.18608,0.035,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
02008d0,173.29411,-35.25793,0.055,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
02008d1,173.29451,-35.3298,0.045,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
02008d2,173.29491,-35.40167,0.035,0.275,0.5,690.974348966211,False,False,False,False,False,False,False,False,False,False
02008d3,173.32994,-41.2226,0.055,0.325,0.5,470.530768534353,True,True,True,False,True,True,True,True,True,True
02008d4,173.33041,-41.29445,0.055,0.325,0.5,455.375767877616,True,True,True,False,True,True,True,True,True,True
02008d5,173.33089,-41.36632,0.035,0.325,0.5,690.975423834866,True,True,True,False,True,True,True,True,True,True
02008d6,173.33136,-41.43819,0.045,0.275,0.5,455.000010024188,True,True,True,False,True,True,True,True,True,True
02008d7,173.33182,-41.51004,0.035,0.275,0.5,690.974348992819,True,True,True,False,True,True,True,True,True,True
02008d8,173.33231,-41.58191,0.035,0.225,0.5,690.974348966651,True,True,True,False,True,True,True,True,True,True
02008d9,173.33278,-41.65376,0.045,0.225,0.5,455.000000001115,True,True,True,False,True,True,True,True,True,True
02008da,173.33325,-41.72563,0.035,0.275,0.5,455.000000007256,True,True,True,False,True,True,True,True,True,True
02008db,173.33372,-41.7975,0.045,0.275,0.5,455.000000007268,True,True,True,False,True,True,True,True,True,True
02008dc,173.33421,-41.86935,0.045,0.325,0.5,455.000000001144,True,True,True,False,True,True,True,True,True,True
02008dd,173.33469,-41.94122,0.045,0.975,0.5,455.000000000267,True,True,True,False,True,True,True,True,True,True
02008de,173.33516,-42.01309,0.045,1.225,0.5,455.000000000011,True,True,True,False,True,True,True,True,True,True
02008df,173.33565,-42.08495,0.045,0.875,0.5,455.000000000182,True,True,True,False,True,True,True,True,True,True
02008e0,173.33614,-42.15681,0.045,1.425,0.5,455.000000009472,True,True,True,False,True,True,True,True,True,True
02008e1,173.33661,-42.22867,0.055,0.925,0.5,455.000001558621,True,True,True,False,True,True,True,True,True,True
02008e2,173.3371,-42.30054,0.045,1.475,0.5,455.000080570318,True,True,True,False,True,True,True,True,True,True
02008e3,173.33759,-42.37241,0.045,1.875,0.5,455.000794985964,True,True,True,False,True,True,True,True,True,True
02008e4,173.33807,-42.44426,0.065,1.475,0.5,405.509752358223,True,True,True,False,True,True,True,True,True,True
02008e5,173.33856,-42.51613,0.045,1.475,0.5,455.000134525321,True,True,True,False,True,True,True,True,True,True
02008e6,173.33905,-42.588,0.045,1.825,0.5,455.000003305897,True,True,True,False,True,True,True,True,True,True
02008e7,173.33954,-42.65985,0.045,3.175,0.5,455.000000068686,True,True,True,False,True,True,True,True,True,True
02008e8,173.34003,-42.73172,0.045,3.825,0.5,455.0000000063,True,True,True,False,True,True,True,True,True,True
02008e9,173.34053,-42.80357,0.045,3.825,0.5,455.000000169598,True,True,True,False,True,True,True,True,True,True
02008ea,173.37976,-34.97017,0.055,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
02008eb,173.38023,-35.04204,0.045,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
02008ec,173.38072,-35.11389,0.055,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
02008ed,173.38121,-35.18576,0.035,0.275,0.5,690.974348966211,False,False,False,False,False,False,False,False,False,False
02008ee,173.3817,-35.25763,0.045,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
02008ef,173.38219,-35.32948,0.055,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
02008f0,173.38365,-35.54507,0.045,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
02008f1,173.42491,-41.15033,0.155,0.325,0.3,691.540989661743,True,True,True,False,True,True,True,True,True,True
02008f2,173.42548,-41.2222,0.045,0.325,0.5,474.096807276285,True,True,True,False,True,True,True,True,True,True
02008f3,173.42606,-41.29405,0.035,0.325,0.5,691.246891027572,True,True,True,False,True,True,True,True,True,True
02008f4,173.42664,-41.36592,0.045,0.275,0.5,455.001769990338,True,True,True,False,True,True,True,True,True,True
02008f5,173.42722,-41.43777,0.035,0.275,0.5,690.974356022472,True,True,True,False,True,True,True,True,True,True
02008f6,173.42778,-41.50964,0.035,0.225,0.5,690.974348994799,True,True,True,False,True,True,True,True,True,True
02008f7,173.42836,-41.58151,0.035,0.225,0.3,500.000000000134,True,True,True,False,True,True,True,True,True,True
02008f8,173.42894,-41.65337,0.045,0.225,0.5,455.00000000001,True,True,True,False,True,True,True,True,True,True
02008f9,173.42953,-41.72523,0.035,0.275,0.5,455.000000000012,True,True,True,False,True,True,True,True,True,True
02008fa,173.43011,-41.79709,0.045,0.325,0.5,455.000000000012,True,True,True,False,True,True,True,True,True,True
02008fb,173.43069,-41.86896,0.045,1.075,0.5,455.000000000009,True,True,True,False,True,True,True,True,True,True
02008fc,173.43129,-41.94081,0.045,1.975,0.5,455.000000000003,True,True,True,False,True,True,True,True,True,True
02008fd,173.43187,-42.01268,0.065,1.225,0.5,455.000000000005,True,True,True,False,True,True,True,True,True,True
02008fe,173.43246,-42.08453,0.045,1.425,0.5,455.000000000352,True,True,True,False,True,True,True,True,True,True
02008ff,173.43304,-42.1564,0.055,2.025,0.5,455.000000133429,True,True,True,False,True,True,True,True,True,True
0200900,173.43364,-42.22827,0.045,1.475,0.5,690.974361986528,True,True,True,False,True,True,True,True,True,True
0200901,173.43423,-42.30013,0.055,2.025,0.5,455.003068170944,True,True,True,False,True,True,True,True,True,True
0200902,173.43483,-42.37199,0.055,1.075,0.5,455.149312571453,True,True,True,False,True,True,True,True,True,True
0200903,173.43542,-42.44385,0.055,1.025,0.5,455.26411750104,True,True,True,False,True,True,True,True,True,True
0200904,173.43602,-42.51572,0.045,1.475,0.5,455.009492165547,True,True,True,False,True,True,True,True,True,True
0200905,173.43661,-42.58757,0.045,1.725,0.5,455.000088569522,True,True,True,False,True,True,True,True,True,True
0200906,173.43721,-42.65944,0.075,2.675,0.5,246.613837630604,True,True,True,False,True,True,True,True,True,True
0200907,173.46756,-35.04166,0.045,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
0200908,173.46812,-35.11353,0.045,0.225,0.5,455.0,False,False,False,False,False,False,False,False,False,False
0200909,173.4687,-35.18538,0.035,0.275,0.5,690.974348966211,False,False,False,False,False,False,False,False,False,False
020090a,173.46928,-35.25725,0.035,0.275,0.5,690.974348966211,False,False,False,False,False,False,False,False,False,False
020090b,173.46985,-35.3291,0.035,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
020090c,173.47101,-35.47282,0.055,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
020090d,173.47159,-35.54469,0.035,0.275,0.5,690.974348966211,False,False,False,False,False,False,False,False,False,False
020090e,173.47217,-35.61655,0.045,0.275,0.5,690.974348966211,False,False,False,False,False,False,False,False,True,False
020090f,173.52034,-41.14986,0.045,0.325,0.5,455.017558172709,True,True,True,False,True,True,True,True,True,True
0200910,173.52103,-41.22173,0.045,0.325,0.5,455.070874955829,True,True,True,False,True,True,True,True,True,True
0200911,173.5217,-41.29358,0.045,0.275,0.5,390.384325405777,True,True,True,False,True,True,True,True,True,True
0200912,173.52238,-41.36545,0.035,0.275,0.5,690.974488753248,True,True,True,False,True,True,True,True,True,True
0200913,173.52307,-41.4373,0.025,0.225,0.5,690.974350481391,True,True,True,False,True,True,True,True,True,True
0200914,173.52374,-41.50917,0.045,0.275,0.5,690.974348974703,True,True,True,False,True,True,True,True,True,True
0200915,173.52443,-41.58102,0.085,0.275,0.3,500.000000000052,True,True,True,False,True,True,True,True,True,True
0200916,173.52512,-41.65289,0.045,0.275,0.5,455.0,True,True,True,False,True,True,True,True,True,True
0200917,173.5258,-41.72475,0.045,0.275,0.5,455.0,True,True,True,False,True,True,True,True,True,True
0200918,173.52649,-41.79662,0.055,0.375,0.5,455.0,True,True,True,False,True,True,True,True,True,True
0200919,173.52719,-41.86847,0.055,1.375,0.5,455.0,True,True,True,False,True,True,True,True,True,True
020091a,173.52788,-41.94034,0.045,1.425,0.5,690.974348966211,True,True,True,False,True,True,True,True,True,True
020091b,173.52858,-42.01219,0.055,1.625,0.5,455.000000000006,True,True,True,False,True,True,True,True,True,True
020091c,173.52927,-42.08406,0.055,2.225,0.5,455.00000000209,True,True,True,False,True,True,True,True,True,True
020091d,173.52997,-42.15591,0.075,1.175,0.5,246.613837324124,True,True,True,False,True,True,True,True,True,True
020091e,173.53067,-42.22777,0.055,1.925,0.5,455.000084578951,True,True,True,False,True,True,True,True,True,True
020091f,173.53137,-42.29964,0.045,2.125,0.5,455.017150315873,True,True,True,False,True,True,True,True,True,True
0200920,173.53207,-42.37149,0.075,0.425,0.5,459.702269163475,True,True,True,False,True,True,True,True,True,True
0200921,173.53278,-42.44336,0.055,2.075,0.5,472.904427794881,True,True,True,False,True,True,True,True,True,True
0200922,173.55421,-34.96936,0.035,0.225,0.5,690.974348966211,False,False,False,False,False,False,False,False,False,False
0200923,173.55487,-35.04123,0.035,0.225,0.5,690.974348966211,False,False,False,False,False,False,False,False,False,False
0200924,173.55553,-35.11308,0.035,0.225,0.5,690.974348966211,False,False,False,False,False,False,False,False,False,False
0200925,173.5562,-35.18494,0.035,0.225,0.5,455.0,False,False,False,False,False,False,False,False,False,False
0200926,173.55685,-35.25681,0.055,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
0200927,173.55753,-35.32866,0.045,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
0200928,173.55818,-35.40053,0.035,0.225,0.5,455.0,False,False,False,False,False,False,False,False,False,False
0200929,173.55885,-35.47238,0.045,0.275,0.5,455.0,False,False,False,False,False,False,False,False,False,False
020092a,173.55952,-35.54425,0.035,0.275,0.5,690.974348966211,False,False,False,False,False,False,False,False,True,False
020092b,173.5602,-35.6161,0.045,0.275,0.5,690.974348966211,False,False,False,False,False,False,False,False,True,False
