,lon,lat,z1p0,z2p5,sigma,vs30,v22p12,v22p11,v22p4,v22p2,v21p6,v21p1,v20p9,v20p6,v20p5,v20p4
SEAS,174.8376,-41.3264,0.075,0.325,0.3,183.300234096823,True,True,True,False,False,True,True,True,True,True
WNAS,174.809,-41.3264,0.075,0.325,0.3,233.910572667394,True,True,True,False,False,True,True,True,True,True
HSES,172.8305,-42.5232,0.295,0.325,0.3,500.0,True,True,True,False,True,True,True,True,True,True
HALS,172.5695,-43.5909,0.085,1.325,0.3,176.813225622396,False,False,False,False,True,True,True,True,True,True
WAZ,174.9855,-39.7546,0.075,1.525,0.5,356.358703899302,True,True,False,False,False,True,True,True,True,True
GOVS,172.6357,-43.6524,0.005,1.175,0.3,700.00228998122,False,False,False,False,True,True,True,True,True,True
POTS,174.7746,-41.2722,0.045,0.325,0.3,426.942064592077,True,True,True,False,False,True,True,True,True,True
NCBS,173.2837,-41.2709,0.615,1.575,0.3,240.022082845774,True,True,True,False,True,True,True,True,True,True
KARS,172.1165,-41.2494,0.155,2.175,0.3,240.0,True,True,True,False,True,True,True,True,True,True
DHSS,172.7272,-43.6303,0.055,1.375,0.3,501.999714234177,False,False,False,False,True,True,True,True,True,True
WBCS,171.5998,-41.7557,0.065,0.375,0.5,239.999998182494,False,True,True,False,True,True,True,True,True,True
SCAC,172.9216,-42.9386,0.075,1.625,0.5,246.651522519962,False,True,True,False,True,True,True,True,True,True
LSRC,172.5433,-42.8695,0.055,0.475,0.5,455.000014974091,False,False,True,False,True,True,True,True,True,True
WIGC,172.8003,-42.7012,0.075,0.475,0.3,500.000000003933,False,True,True,False,True,True,True,True,True,True
BTWS,173.1285,-41.3892,0.635,0.675,0.3,246.19162462217,True,True,True,False,True,True,True,True,True,True
MQZ,172.6538,-43.7061,0.045,0.975,0.3,883.268793789793,False,False,False,False,True,True,True,True,True,True
SJFS,172.1803,-42.3346,0.075,0.325,0.3,500.0,False,True,True,False,True,True,True,True,True,True
THZ,172.9052,-41.7625,0.055,0.275,0.3,676.619416650973,True,True,True,False,True,True,True,True,True,True
CSTC,172.3813,-43.3123,0.575,2.825,0.3,399.042166433419,False,False,False,False,True,True,True,True,True,True
MCAS,172.328,-41.7999,0.215,0.375,0.3,500.000000000001,True,True,True,False,True,True,True,True,True,True
WAKC,172.7052,-42.9631,0.075,0.675,0.3,500.000001022288,False,False,True,False,True,True,True,True,True,True
KPOC,172.6638,-43.3765,1.345,3.275,0.3,253.323043467125,False,False,True,False,True,True,True,True,True,True
CULC,172.8026,-42.7594,0.435,0.475,0.3,500.000000102935,False,True,True,False,True,True,True,True,True,True
GVZ,173.0348,-42.9674,0.045,2.125,0.5,811.007156503878,False,True,True,False,True,True,True,True,True,True
CECS,173.2749,-42.8135,0.265,4.325,0.3,240.000000296583,True,True,True,False,True,True,True,True,True,True
RDCS,171.8644,-42.1197,0.065,0.325,0.5,499.999999999999,False,True,True,False,True,True,True,True,True,True
SMHS,172.3363,-43.2622,0.675,1.825,0.3,500.00030119804,False,False,True,False,True,True,True,True,True,True
HUNS,172.6572,-43.5794,0.065,1.625,0.3,720.870873393401,False,False,False,False,True,True,True,True,True,True
LINC,172.468,-43.6232,0.345,1.725,0.3,305.553080938242,False,False,False,False,True,True,True,True,True,True
APPS,171.5677,-42.9489,0.045,0.275,0.5,306.429658987376,False,False,False,False,True,True,True,True,True,True
LTZ,172.271,-42.7817,0.055,0.325,0.5,811.332906319256,False,False,True,False,True,True,True,True,True,True
AMBC,172.7309,-43.1547,0.845,2.075,0.3,240.00025998221,False,False,True,False,True,True,True,True,True,True
NBLC,172.7314,-43.5069,0.605,2.025,0.3,191.006705055416,False,False,True,False,True,True,True,True,True,True
RTZ,176.9805,-38.6154,0.045,0.425,0.5,811.313232850208,False,False,False,False,False,False,True,True,True,True
